 iconf, T, nbar, abs_nbar, nbar2, nbar4, nbinder
  17 0.436000E+01 0.673280E-03 0.839275E-01 0.112543E-01 0.409721E-03 -.782767E-01
  17 0.440000E+01 -.162858E-02 0.771114E-01 0.946152E-02 0.282005E-03 -.500571E-01
  18 0.400000E+01 0.164193E+01 0.164193E+01 0.271893E+01 0.763575E+01 0.655702E+00
  18 0.404000E+01 0.145231E+01 0.145231E+01 0.213867E+01 0.481506E+01 0.649093E+00
  18 0.408000E+01 -.114321E+01 0.122476E+01 0.154078E+01 0.260394E+01 0.634382E+00
  18 0.412000E+01 -.640910E-02 0.920719E+00 0.916192E+00 0.104308E+01 0.585786E+00
  18 0.416000E+01 0.611897E-02 0.494641E+00 0.328137E+00 0.207711E+00 0.356977E+00
  18 0.420000E+01 0.469081E-02 0.237561E+00 0.942826E-01 0.292450E-01 -.966467E-01
  18 0.424000E+01 0.191032E-02 0.143623E+00 0.347337E-01 0.456704E-02 -.261861E+00
  18 0.428000E+01 -.664680E-03 0.111345E+00 0.205996E-01 0.159388E-02 -.252034E+00
  18 0.432000E+01 0.743530E-03 0.937472E-01 0.142967E-01 0.723765E-03 -.180331E+00
  18 0.436000E+01 -.278290E-03 0.837159E-01 0.112246E-01 0.409467E-03 -.833114E-01
  18 0.440000E+01 -.135028E-02 0.771523E-01 0.946498E-02 0.282688E-03 -.518352E-01
  19 0.400000E+01 0.164397E+01 0.164397E+01 0.272591E+01 0.767767E+01 0.655583E+00
  19 0.404000E+01 0.224694E+00 0.145263E+01 0.213977E+01 0.481804E+01 0.649237E+00
  19 0.408000E+01 0.764312E+00 0.121841E+01 0.152810E+01 0.257112E+01 0.632972E+00
  19 0.412000E+01 -.303925E-01 0.914081E+00 0.909382E+00 0.103787E+01 0.581661E+00
  19 0.416000E+01 -.658016E-01 0.510296E+00 0.347216E+00 0.226776E+00 0.372988E+00
  19 0.420000E+01 0.972309E-02 0.240182E+00 0.957178E-01 0.299029E-01 -.879440E-01
  19 0.424000E+01 0.355005E-02 0.143983E+00 0.350716E-01 0.461808E-02 -.251498E+00
  19 0.428000E+01 0.186198E-02 0.111214E+00 0.205063E-01 0.155888E-02 -.235707E+00
  19 0.432000E+01 0.196487E-02 0.930989E-01 0.140304E-01 0.672212E-03 -.138269E+00
  19 0.436000E+01 -.467770E-03 0.840535E-01 0.113494E-01 0.422591E-03 -.935778E-01
  19 0.440000E+01 0.125740E-03 0.772106E-01 0.950765E-02 0.289002E-03 -.656950E-01
  20 0.400000E+01 0.164252E+01 0.164252E+01 0.272069E+01 0.764330E+01 0.655809E+00
  20 0.404000E+01 0.144807E+01 0.144807E+01 0.212646E+01 0.476134E+01 0.649011E+00
  20 0.408000E+01 -.756680E+00 0.121746E+01 0.152491E+01 0.255870E+01 0.633218E+00
  20 0.412000E+01 0.287533E-01 0.912259E+00 0.905591E+00 0.103054E+01 0.581129E+00
  20 0.416000E+01 0.418091E-01 0.494211E+00 0.332649E+00 0.216868E+00 0.346720E+00
  20 0.420000E+01 -.480099E-02 0.231917E+00 0.904202E-01 0.272212E-01 -.109826E+00
  20 0.424000E+01 -.399340E-03 0.141311E+00 0.339082E-01 0.443378E-02 -.285416E+00
  20 0.428000E+01 0.104075E-02 0.109086E+00 0.196367E-01 0.141551E-02 -.223641E+00
  20 0.432000E+01 -.122864E-02 0.931107E-01 0.140787E-01 0.688500E-03 -.157856E+00
  20 0.436000E+01 -.935530E-03 0.834109E-01 0.110923E-01 0.396337E-03 -.737356E-01
  20 0.440000E+01 -.915900E-03 0.767236E-01 0.938834E-02 0.280373E-03 -.603232E-01
  21 0.400000E+01 0.164012E+01 0.164012E+01 0.271354E+01 0.761086E+01 0.655459E+00
  21 0.404000E+01 0.145141E+01 0.145141E+01 0.213590E+01 0.480118E+01 0.649194E+00
  21 0.408000E+01 0.827677E+00 0.121431E+01 0.151843E+01 0.254343E+01 0.632288E+00
  21 0.412000E+01 0.466573E-01 0.917075E+00 0.912535E+00 0.103928E+01 0.583982E+00
  21 0.416000E+01 0.249438E-02 0.503373E+00 0.339963E+00 0.222614E+00 0.357951E+00
