 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9055
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.105000E+02 0.639863E-01 0.500511E-02 0.430250E-04 0.378601E-02 0.282515E+00 0.132481E+02 0.334157E+00 0.114507E+00 0.770599E-02 0.116559E+01 0.553798E-01 0.417959E-02 0.348847E-04 0.341132E+00 0.794930E-01 0.242873E-01 0.825526E-03 0.152923E-05 0.265850E+00 0.656254E-01 0.134553E-02 0.220790E-03 0.570042E+00 0.119527E+00
 0.105556E+02 0.595661E-01 0.434959E-02 0.329048E-04 0.324149E-02 0.260750E+00 0.117926E+02 0.309165E+00 0.109302E+00 0.680666E-02 0.102852E+01 0.511518E-01 0.359311E-02 0.263439E-04 0.327247E+00 0.761514E-01 0.232705E-01 0.756475E-03 0.127655E-05 0.265145E+00 0.710336E-01 0.119422E-02 0.196425E-03 0.592007E+00 0.108020E+00
 0.106111E+02 0.555569E-01 0.379369E-02 0.253399E-04 0.279311E-02 0.239312E+00 0.105021E+02 0.287854E+00 0.100498E+00 0.602342E-02 0.943074E+00 0.473089E-01 0.310074E-02 0.200807E-04 0.312667E+00 0.722593E-01 0.222807E-01 0.692949E-03 0.106718E-05 0.263631E+00 0.730120E-01 0.105937E-02 0.172506E-03 0.613940E+00 0.983000E-01
 0.106667E+02 0.520350E-01 0.333724E-02 0.198264E-04 0.242349E-02 0.219800E+00 0.941381E+01 0.265414E+00 0.961284E-01 0.537660E-02 0.830158E+00 0.439499E-01 0.269749E-02 0.155095E-04 0.298533E+00 0.695785E-01 0.214165E-01 0.639749E-03 0.905820E-06 0.263043E+00 0.740190E-01 0.947335E-03 0.152954E-03 0.636457E+00 0.889751E-01
 0.107222E+02 0.488369E-01 0.294134E-02 0.155069E-04 0.210439E-02 0.207603E+00 0.839217E+01 0.251913E+00 0.841864E-01 0.468559E-02 0.723074E+00 0.408492E-01 0.234579E-02 0.119515E-04 0.286943E+00 0.625669E-01 0.206682E-01 0.595545E-03 0.780252E-06 0.264098E+00 0.761427E-01 0.850801E-03 0.134014E-03 0.661479E+00 0.760997E-01
 0.107778E+02 0.458286E-01 0.258916E-02 0.120707E-04 0.182676E-02 0.199412E+00 0.740540E+01 0.242692E+00 0.756152E-01 0.414846E-02 0.640934E+00 0.379462E-01 0.203586E-02 0.915055E-05 0.276277E+00 0.575020E-01 0.199218E-01 0.553303E-03 0.672274E-06 0.262643E+00 0.770124E-01 0.762464E-03 0.118204E-03 0.687214E+00 0.655449E-01
 0.108333E+02 0.430928E-01 0.229249E-02 0.951907E-05 0.159514E-02 0.188743E+00 0.663910E+01 0.226924E+00 0.686117E-01 0.360213E-02 0.521027E+00 0.353375E-01 0.177812E-02 0.709807E-05 0.263296E+00 0.522425E-01 0.192091E-01 0.514369E-03 0.580297E-06 0.261208E+00 0.791348E-01 0.684810E-03 0.102135E-03 0.711443E+00 0.539005E-01
 0.108889E+02 0.406023E-01 0.203595E-02 0.754108E-05 0.139885E-02 0.180729E+00 0.593168E+01 0.215229E+00 0.611947E-01 0.313237E-02 0.442309E+00 0.329715E-01 0.155809E-02 0.554148E-05 0.250629E+00 0.470880E-01 0.185299E-01 0.477866E-03 0.499259E-06 0.262248E+00 0.799584E-01 0.616240E-03 0.877276E-04 0.734962E+00 0.438745E-01
 0.109444E+02 0.384130E-01 0.182183E-02 0.605502E-05 0.123790E-02 0.175692E+00 0.532722E+01 0.204636E+00 0.536922E-01 0.267220E-02 0.346467E+00 0.309283E-01 0.137762E-02 0.439167E-05 0.239244E+00 0.399712E-01 0.178785E-01 0.444217E-03 0.428348E-06 0.265832E+00 0.784352E-01 0.557541E-03 0.748070E-04 0.754449E+00 0.310627E-01
 0.110000E+02 0.364441E-01 0.163922E-02 0.490026E-05 0.110124E-02 0.176346E+00 0.479888E+01 0.200366E+00 0.470776E-01 0.228738E-02 0.267737E+00 0.290522E-01 0.122259E-02 0.349780E-05 0.229443E+00 0.335313E-01 0.173348E-01 0.416637E-03 0.374725E-06 0.268518E+00 0.781820E-01 0.507555E-03 0.643955E-04 0.776607E+00 0.195106E-01
