 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.836842E+01   74 -.168852E+01 0.000000E+00
 0.836842E+01   75 -.158894E+01 0.000000E+00
 0.836842E+01   76 -.148937E+01 0.000000E+00
 0.836842E+01   77 -.138979E+01 0.000000E+00
 0.836842E+01   78 -.129022E+01 0.000000E+00
 0.836842E+01   79 -.119064E+01 0.000000E+00
 0.836842E+01   80 -.109107E+01 0.000000E+00
 0.836842E+01   81 -.991494E+00 0.000000E+00
 0.836842E+01   82 -.891919E+00 0.000000E+00
 0.836842E+01   83 -.792345E+00 0.000000E+00
 0.836842E+01   84 -.692770E+00 0.000000E+00
 0.836842E+01   85 -.593195E+00 0.000000E+00
 0.836842E+01   86 -.493621E+00 0.000000E+00
 0.836842E+01   87 -.394046E+00 0.000000E+00
 0.836842E+01   88 -.294471E+00 0.000000E+00
 0.836842E+01   89 -.194896E+00 0.000000E+00
 0.836842E+01   90 -.953218E-01 0.000000E+00
 0.836842E+01   91 0.425293E-02 0.000000E+00
 0.836842E+01   92 0.103828E+00 0.000000E+00
 0.836842E+01   93 0.203402E+00 0.000000E+00
 0.836842E+01   94 0.302977E+00 0.000000E+00
 0.836842E+01   95 0.402552E+00 0.000000E+00
 0.836842E+01   96 0.502126E+00 0.000000E+00
 0.836842E+01   97 0.601701E+00 0.000000E+00
 0.836842E+01   98 0.701276E+00 0.000000E+00
 0.836842E+01   99 0.800851E+00 0.000000E+00
 0.855263E+01    1 -.882224E+01 0.000000E+00
 0.855263E+01    2 -.872402E+01 0.000000E+00
 0.855263E+01    3 -.862580E+01 0.000000E+00
 0.855263E+01    4 -.852758E+01 0.000000E+00
 0.855263E+01    5 -.842935E+01 0.000000E+00
 0.855263E+01    6 -.833113E+01 0.000000E+00
 0.855263E+01    7 -.823291E+01 0.000000E+00
 0.855263E+01    8 -.813469E+01 0.000000E+00
 0.855263E+01    9 -.803646E+01 0.000000E+00
 0.855263E+01   10 -.793824E+01 0.000000E+00
 0.855263E+01   11 -.784002E+01 0.000000E+00
 0.855263E+01   12 -.774180E+01 0.000000E+00
 0.855263E+01   13 -.764357E+01 0.000000E+00
 0.855263E+01   14 -.754535E+01 0.000000E+00
 0.855263E+01   15 -.744713E+01 0.000000E+00
 0.855263E+01   16 -.734891E+01 0.000000E+00
 0.855263E+01   17 -.725068E+01 0.000000E+00
 0.855263E+01   18 -.715246E+01 0.000000E+00
 0.855263E+01   19 -.705424E+01 0.000000E+00
 0.855263E+01   20 -.695602E+01 0.000000E+00
 0.855263E+01   21 -.685780E+01 0.000000E+00
 0.855263E+01   22 -.675957E+01 0.000000E+00
 0.855263E+01   23 -.666135E+01 0.000000E+00
 0.855263E+01   24 -.656313E+01 0.000000E+00
 0.855263E+01   25 -.646491E+01 0.000000E+00
 0.855263E+01   26 -.636668E+01 0.000000E+00
 0.855263E+01   27 -.626846E+01 0.000000E+00
 0.855263E+01   28 -.617024E+01 0.000000E+00
 0.855263E+01   29 -.607202E+01 0.000000E+00
 0.855263E+01   30 -.597379E+01 0.000000E+00
 0.855263E+01   31 -.587557E+01 0.000000E+00
 0.855263E+01   32 -.577735E+01 0.000000E+00
 0.855263E+01   33 -.567913E+01 0.000000E+00
 0.855263E+01   34 -.558090E+01 0.000000E+00
 0.855263E+01   35 -.548268E+01 0.000000E+00
 0.855263E+01   36 -.538446E+01 0.000000E+00
 0.855263E+01   37 -.528624E+01 0.000000E+00
 0.855263E+01   38 -.518801E+01 0.000000E+00
 0.855263E+01   39 -.508979E+01 0.000000E+00
 0.855263E+01   40 -.499157E+01 0.000000E+00
 0.855263E+01   41 -.489335E+01 0.000000E+00
 0.855263E+01   42 -.479512E+01 0.000000E+00
 0.855263E+01   43 -.469690E+01 0.000000E+00
 0.855263E+01   44 -.459868E+01 0.000000E+00
 0.855263E+01   45 -.450046E+01 0.000000E+00
 0.855263E+01   46 -.440223E+01 0.000000E+00
 0.855263E+01   47 -.430401E+01 0.770000E-05
 0.855263E+01   48 -.420579E+01 0.241490E-02
